id,character,title,voice_line,requirements,about,nation
17,Tighnari,About Us: Friends,"""Are we officially friends?"" What, so this sort of thing needs official documentation now? Okay then... Well, hand over your ""friendship certificate."" I assume it'll need my signature.",Friendship Lv. 6,,Sumeru
18,Tighnari,About the Vision,"I remember praying as a kid that if I were lucky enough to receive a Vision, it had to be a Dendro one. It wasn't because of research. I just wanted to make a vine ladder to reach high-hanging fruit.",Friendship Lv. 4,,Sumeru
19,Tighnari,Something to Share: Aranara,"I've heard about the Aranara for some time now, but I haven't personally seen any. Sometimes, I hear rustling sounds from the forest's depths, but they disappear when I go closer. That's a good thing, though. At least they know how to protect themselves, unlike those stupid adventurers whose first thought when they run into an Avidya Leopard is ""Ooh, maybe I'll form an inter-species friendship today.""",,,Sumeru
20,Tighnari,Something to Share: Karkata,"Don't worry about Karkata. I told the Matra I know that it's my research assistant. If anyone wants to do anything to it, they'll need to go through me. ...Since you seem to care a lot about Karkata, why don't you enroll in some courses at the Spantamad Darshan? That way, you can care for it even if I'm gone.",Friendship Lv. 4; The Unanswerable Problems,,Sumeru
21,Tighnari,Interesting Things,"Did you know that plants can camouflage themselves? Some mimic insects or birds to intimidate their natural predators, others produce bait to attract pollinators, and still others are obligate carnivores that utilize enticing fragrances or honey to lure in their prey... Hmm, I feel like I'm not just talking about plants anymore.",,,Sumeru
22,Tighnari,About Collei,"When that child was first brought here, she was effectively illiterate. It wasn't a huge issue, though. She's a hard worker and a diligent student, so she's made good progress. Still, her goal is to learn advanced medical techniques, so she still has a long way to go. She sometimes puts too much pressure on herself... Help her out when you can, would you? Consider it a favor for me as her mentor. Thanks a lot.",Friendship Lv. 4,Collei,Sumeru
23,Tighnari,About Cyno: General Mahamatra,"You want to see Cyno...? Well, firstly, a word of caution: if he ever comes chasing you down for work-related reasons, prepare for the nightmare of a lifetime. Other than that, General Mahamatra is a high-ranking position, so it usually isn't easy to find him. But he does occasionally go to Gandharva Ville to see Collei. As much as he might want to stay unnoticed, he can't fool my ears.",Friendship Lv. 4,Cyno,Sumeru
24,Tighnari,About Cyno: Good Question,"After my adviser's rescue, I wrote him a letter to send my regards. To my surprise, he wrote back saying that someone had already given him my regards in person. He ended the letter with a question ""The General Mahamatra said he hopes that the sages will enjoy 'a more tasteful reputation' thanks to the efforts of our Darshan. Whatever do you suppose he meant by 'a more tasteful reputation'?"" ...It's a good question. I'd like to know, too.","Friendship Lv. 4; Akasha Pulses, the Kalpa Flame Rises",Cyno,Sumeru
25,Tighnari,About Alhaitham,"Be careful of Alhaitham. I'm not saying he's a bad guy, but he purely operates by rationality, so people often find his actions unacceptable. If you don't believe me, just ask his roommate — thanks to Alhaitham, he has more pent-up frustration than an angry Anemo Slime.",Friendship Lv. 4,Alhaitham,Sumeru
26,Tighnari,About Kaveh,"Kaveh is a famous architect in Sumeru. The Palace of Alcazarzaray is his magnum opus. During the initial planning, he even asked me to recommend suitable ornamental flora. I don't know why or how, but he ended up heavily in debt after the palace was completed. Alhaitham is helping out by letting him stay at his place, but... I don't know whether that's a blessing or a curse...",Friendship Lv. 4,Kaveh,Sumeru
27,Tighnari,About Dori,"The renowned Lord Sangemah Bay is none other than Dori. I became acquainted with her through a previous research project. It had required very rare materials, and the only way I could get them was through her and her mysterious supply network. Uh... never you mind what I was buying and what I was researching, thank you very much!",Friendship Lv. 4,Dori,Sumeru
28,Tighnari,About Layla,"I've heard of her, the famous ""Sleepwalking Eccentric."" The rumors about her sleepwalking are really quite absurd: feats of superhuman strength, sprinting through Aaru Village at night, scaling the Wall of Samiel with her bare hands... Some even say that she can write a 100,000-word thesis while asleep! What a load of nonsense.","Friendship Lv. 4; Akasha Pulses, the Kalpa Flame Rises",Layla,Sumeru
29,Tighnari,About Lisa,"Cyno has mentioned her before — an extraordinary genius with a veritable wealth of knowledge and talent. A pity that she returned to Mondstadt so long ago. Perhaps, in the course of her study, she witnessed the horrifying side of knowledge...",Friendship Lv. 4,Lisa,Sumeru
30,Tighnari,About Lesser Lord Kusanali,"As a student, I once heard this saying: ""Plants and the Land of Dendro share the same history."" It could just be one of those things that people say, but I've always felt that there's a deeper meaning to those words... If I meet Lesser Lord Kusanali one day, I wonder if she would explain them to me?",Friendship Lv. 4,Nahida,Sumeru
31,Tighnari,About Dehya,"Everything happened so fast, and I didn't get the chance to properly thank her. To have a capable and reliable person like her on your side is extremely fortunate. I'm sure she must have many groups trying to persuade her to join their ranks. But she definitely doesn't strike me as the kind of person who would be interested in joining the Akademiya or the Forest Rangers, so I'll spare myself the inevitable rejection.","Friendship Lv. 4; Akasha Pulses, the Kalpa Flame Rises",Dehya,Sumeru
32,Tighnari,About Faruzan,Madam Faruzan possesses an extensive wealth of knowledge. I often invite her to inspect the mechanisms in the rainforest. The next time she's in Gandharva Ville... *sigh* I hope she doesn't sneak Collei more food. Nutrition is like medicine: moderation is key.,Friendship Lv. 4,Faruzan,Sumeru
33,Tighnari,More About Tighnari: I,"Are you acclimating to the rainforest? I suggest that you keep your eyes and ears open. Take care of yourself, and if anything happens, just flag down a Forest Ranger.",,,Sumeru
34,Tighnari,More About Tighnari: II,"*sigh* Sometimes I really do envy those simpletons who go around touching and eating anything and everything. In their minds, it must feel like miracles happen every day.",Friendship Lv. 3,,Sumeru
35,Tighnari,More About Tighnari: III,"To better serve the Avidya Forest, I occasionally offer training courses to the Forest Rangers. If you want to split hairs, then yes, these courses would be considered as ""dissemination of information"" by the Akademiya. But what are they gonna do — lock me up? I dare them. We'll see how many patients suffering from weird and wonderful ailments start flooding into the Bimarstan every day!",Friendship Lv. 4,,Sumeru
36,Tighnari,More About Tighnari: IV,"I'll let you in on a secret: I actually really like the atmosphere in the Grand Bazaar. Business is booming, everyone's so lively, and the theater is full of song and dance. Unfortunately, my ears don't tolerate loud sounds very well... Huh? You'll cover my ears for me? ...It'd be way too hard to walk like that! Thanks for the thought, though.",Friendship Lv. 5,,Sumeru
37,Tighnari,More About Tighnari: V,"I had many beautiful and fantastical dreams as a child, but they vanished from my memory one day after I grew up. Do you still have dreams? Tell me about them.",Friendship Lv. 6,,Sumeru
38,Tighnari,Tighnari's Hobbies,"Leaves and flowers often drop onto the ground of the Avidya Forest, sometimes perfectly intact. Leaving them on the ground would be such a pity... I can't help but pick them up and keep them as biological specimens. They can be used as educational materials for Forest Rangers or as decorative pieces. Very versatile.",,,Sumeru
39,Tighnari,Tighnari's Troubles,"Troubles? Let me think... Pollution in the Avidya Forest, adventurers who constantly stir up trouble, and rescue dogs that always want to mess with my tail... But these problems all have solutions. If you're talking about bigger concerns, then I really don't have any. In this regard, the life of a Forest Watcher is pretty simple.",Friendship Lv. 6,,Sumeru
40,Tighnari,Favorite Food,"This may sound strange, but although the blood of a carnivore runs through my veins, mushrooms are the one food that I can't give up. There are many species of edible mushrooms. Whether fresh or dried, they all give off a unique scent. Even when stewed with meat, it's the mushrooms' aroma that comes out on top.",,,Sumeru
41,Tighnari,Least Favorite Food,"My olfactory system is overly sensitive, so I lack the good fortune to enjoy heavily spiced foods... Quite the shame in Sumeru.",,,Sumeru
42,Tighnari,Receiving a Gift: I,Excellent ingredients and impeccable seasoning. In short — it's delicious.,,,Sumeru
43,Tighnari,Receiving a Gift: II,Nice flavor pairing. Could you give me a copy of the recipe? I want to put this on the menu for the Forest Rangers' next meal.,,,Sumeru
44,Tighnari,Receiving a Gift: III,...Do I need to teach you some new recipes?,,,Sumeru
45,Tighnari,Birthday,"Happy birthday! I picked out a potted plant in full bloom for you, along with a gardening guide. If anything happens to it, don't hesitate to find me at any time. This plant comes with a Forest Watcher lifetime guarantee.I'll have you know a lot of flowers are in season on your birthday. It took me forever to choose one. I'll get you a different species next year!",,,Sumeru
46,Tighnari,Feelings About Ascension: Intro,Germinating seeds break through the soil and take root.,Ascension Phase 1,,Sumeru
47,Tighnari,Feelings About Ascension: Building Up,"Seedlings grow, reaching out with their branches and leaves.",Ascension Phase 2,,Sumeru
48,Tighnari,Feelings About Ascension: Climax,Branches dotted with flower buds herald the advent of spring.,Ascension Phase 3,,Sumeru
49,Tighnari,Feelings About Ascension: Conclusion,A rich harvest that will lead to even richer ones.,Ascension Phase 4,,Sumeru
50,Aloy,Hello,"Aloy here. I don't know this world, but my arrows are sharp and my bow's ready. If your party needs help, I'll do what I can.",,,NA
51,Aloy,Chat: Moving Out,"Come on. Enough standing around, let's keep moving.",,,NA
52,Aloy,Chat: Help,Let's get going. There are people who need our help.,,,NA
53,Aloy,When It Rains,Rain. One way to wash off the grime.,,,NA
54,Aloy,After the Rain,Sky's running out of rain for now. Time to dry off.,,,NA
55,Aloy,When It Snows,The world always seems quieter when it snows.,,,NA
56,Aloy,When It's Windy,Wind's kicking up again. Feels good to breathe it in.,,,NA
57,Aloy,When the Wind Is Blowing,Wind is really whipping now. My face feels raw.,,,NA
58,Aloy,Good Morning,"Morning. World's starting to stir again. Me too, I guess.",,,NA
59,Aloy,Good Afternoon,"Day's half over, but we still have a lot to do.",,,NA
60,Aloy,Good Evening,Sunset. We'll be under the stars soon.,,,NA
61,Aloy,Good Night,"Night's here. Time to rest, unless we're going on by starlight.",,,NA
62,Aloy,About Aloy,"I grew up an outcast, and it wasn't much fun. Even though I'm a stranger here, people are friendlier than the tribe that was supposed to raise me. It's... nice.",,,NA
63,Aloy,About Us: Action,"Everything I do is in the service of life, not death. That's why I'm here with you.",,,NA
64,Aloy,About Us: Oath,"An oath seems like a formality. But if you want mine, you've got it.",Friendship Lv. 6,,NA
65,Aloy,About Us: Moving Forward,I'll do whatever it takes to finish this with you. I won't hesitate. I won't falter.,Friendship Lv. 6,,NA
66,Aloy,Something to Share,"If I have to share something, it'll be my bow... in the service of people who need the help.",,,NA
67,Aloy,Interesting Things,"This land has a past full of secrets, just like my world. I'll uncover all of it, if I have enough time.",,,NA
68,Aloy,More About Aloy: I,I'm not much for talking about myself. The mission is what's important.,,,NA
69,Aloy,More About Aloy: II,"I never had parents. But a man named Rost raised me. He was stern, but kind and generous. And he trained me well. I miss him.",Friendship Lv. 3,,NA
70,Aloy,More About Aloy: III,"I spent my whole life looking for my mother and never found her, not really. But I found ancient messages from the woman I was... cloned from. It felt like she knew me. And how to inspire me.",Friendship Lv. 4,,NA
71,Aloy,More About Aloy: IV,"When I grew up, I didn't have any friends. Later in my travels, I made some. But I left that world before we could grow close. That's why I'm glad to have spent time with you.",Friendship Lv. 5,,NA
72,Aloy,More About Aloy: V,"Trust doesn't come easy for me, but I know I can trust you. You're a true friend, and I don't say that often.",Friendship Lv. 6,,NA
73,Aloy,Aloy's Hobbies,"Not sure if I have a hobby, unless you count reading things from the past. So, history... I guess?",,,NA
74,Aloy,Aloy's Troubles,One world needed saving. Now another. There's never time to rest.,,,NA
75,Aloy,Favorite Food,I'm not picky. Anything's better than traveling on an empty stomach.,,,NA
76,Aloy,Least Favorite Food,Had an Oseram stew once that was so thick you could pave a road with it. Ugh.,,,NA
77,Aloy,Birthday,"Never put much stock in birthdays. Where I come from, it's a time to celebrate your mother, not yourself. Even so, I wish you a, uh... happy day.",,,NA
78,Aloy,Feelings About Ascension: Intro,"All right. Feels like we're making progress, but we can't stop now.",Ascension Phase 1,,NA
79,Aloy,Feelings About Ascension: Building Up,Getting better. Getting stronger. Always a good thing.,Ascension Phase 2,,NA
80,Aloy,Feelings About Ascension: Climax,"No matter how good a hunter you are, you can always get better. Never rest. Never stop learning.",Ascension Phase 4,,NA
81,Aloy,Feelings about Ascension: Conclusion,"When we started out, you were just another stranger in a world I didn't understand. But after everything we've been through, I can say this for certain: My bow is yours, now and always.",Ascension Phase 6,,NA
82,Chevreuse,Hello,"I'm Chevreuse, Captain of Fontaine's Special Security and Surveillance Patrol. You'll excuse me if I skip the pleasantries. Is there a case that needs my attention?",,,Fontaine
83,Chevreuse,Chat: Musket,The musket is my favorite weapon. It's both powerful and threatening... sometimes the latter trait is far more useful.,,,Fontaine
84,Chevreuse,Chat: Patrol,The Special Security and Surveillance Patrol isn't involved in regular patrol duties around Fontaine. The people we're after aren't exactly the type who just pop up on the street.,,,Fontaine
85,Chevreuse,Chat: Food,"""Feast-O's"" are just the best snack. They're easy to carry with you, and go with so many sauces... Gonna go buy some. Be right back.",,,Fontaine
86,Chevreuse,When It Rains,Don't worry. My musket can still fire in the rain.,,,Fontaine
87,Chevreuse,When Thunder Strikes,"Some criminals try to use the sound of thunder to conceal gun shots. But, that trick doesn't fool my ears.",,,Fontaine
88,Chevreuse,When It Snows,...Hold! I need to service my musket before the mechanism freezes.,,,Fontaine
89,Chevreuse,When the Sun Is Out,What nice weather! Especially good for keeping an eye on things.,,,Fontaine
90,Chevreuse,When the Wind Is Blowing,"With this wind, I'm afraid even my bullets might get blown off their mark.",,,Fontaine
91,Chevreuse,In the Desert,The sheer vastness of the desert is perfect for keeping certain things buried and out of sight.,,,Fontaine
92,Chevreuse,Good Morning,Good morning! I was just about to do a few rounds of strength training. Do you want to join?,,,Fontaine
93,Chevreuse,Good Afternoon,Afternoon! Do you want to grab some food with me at the Special Patrol's mess hall? The food there really fills the stomach.,,,Fontaine
94,Chevreuse,Good Evening,"Another day of work over, and without any huge disasters to boot. Let's grab a midnight snack. I'll lead the way.",,,Fontaine
95,Chevreuse,Good Night,Good night. I'm also going to turn in soon. ...I really hope nothing too serious happens while I'm asleep.,,,Fontaine
96,Chevreuse,About Chevreuse: Special Security and Surveillance Patrol,"The Special Security and Surveillance Patrol deals with a whole host of heinous crimes and dangerous criminals. As such, the methods we employ to enforce the law can be a bit on the... harsher side.",,,Fontaine
97,Chevreuse,About Chevreuse: Uniform Cap,"There's an unwritten rule in the Special Security and Surveillance Patrol. Any time a member dies in the line of duty, we hold onto their cap. Should a child of a deceased member ever join the Special Patrol, we then pass the cap down to them... I suppose you could call it a way of passing on a member's legacy.",Friendship Lv. 4,,Fontaine
98,Chevreuse,About Us: Interests,"In my free time, I like to read crime novels. They differ from murder mysteries in that they focus less on describing the complicated details of the crime itself and more on the emotional and human conflicts surrounding the case. I find them very interesting.",As Light Rain Falls Without Reason,,Fontaine
99,Chevreuse,About Us: The Law,You can come to me at any time if you have questions about the law. Actually... You should come to me the minute you have the slightest inkling that something may not be legal.I can't tell you how many idiots I encounter every year who overstep simply because they fail to check where the line is drawn. I don't want to see you become like them.,Friendship Lv. 6; As Light Rain Falls Without Reason,,Fontaine
100,Chevreuse,About the Vision,"My Vision is certainly an integral part of the way I execute my duties. For instance, my Musket has never had a major malfunction since I received my Vision.I'd say a captain who wields a musket and a Vision is more than enough to scare off a few cowardly criminals.",Friendship Lv. 4,,Fontaine
101,Chevreuse,Something to Share,"Harcourt really did it, he arrested Mylis... even though she was his true love. I have to admire him for that, although... did Mylis really do anything wrong? All she did was find some jewelry and sell it off. I guess it didn't belong to her, but it's hardly the heinous crime that the aristocrats made it out to be... *sigh* It's hard to know what justice should look like sometimes, isn't it?",,,Fontaine
102,Chevreuse,Interesting Things: Gardemek,"Although our organization belongs to the Maison Gardiennage, the Special Security and Surveillance Patrol makes little use of Gardemeks. As for the reason... Well, let's just say those cumbersome machines would only get in the way of our bullets.",,,Fontaine
103,Chevreuse,About Navia,"I've heard about the murder case involving Navia's father. It caused quite the stir in the Maison Gardiennage at the time. It was the source of many disagreements, I believe.Fortunately, the truth has come to light and the true culprit has been held accountable... Justice may not always be swift, but it always prevails in the end.",Friendship Lv. 4; As Light Rain Falls Without Reason,Navia,Fontaine
104,Chevreuse,About Lyney,"Lyney is quite the famous magician. We once had a case where we arrested a magician suspected of deliberate harm, fraudulent behavior, and murder, but we could never figure out his methods. In the end, we brought on Lyney as a consultant. He helped us find a crucial piece of evidence that led to the successful conviction of the suspect. I heard that an author actually used that case as the basis for their mystery novel about a magician who used their craft to commit crimes.Unfortunately... the author ended up going a little overboard on the graphic detail, and since the crime is still fresh in everyone's minds, it'll be a while before they're able to get it published.",Friendship Lv. 4,Lyney,Fontaine
105,Chevreuse,About Freminet,"I once saw Freminet in a shop when we both reached for the same gadget. It was the last one available, but just as I was about to tell him he could have it, he withdrew his hand and ran out of the store. It might sound odd, but he fled like the Gardes were after him.",Friendship Lv. 4,Freminet,Fontaine
106,Chevreuse,About Clorinde,"Clorinde has built quite the reputation for herself in Fontaine as a Champion Duelist. Our positions are different, so I'm not at liberty to make any comments about her work. But I trust that she takes on those duels out of her own sense of justice.",Friendship Lv. 4,Clorinde,Fontaine
107,Chevreuse,About Wriothesley,The work Wriothesley does is highly effective. As least all criminals know that the Fortress of Meropide isn't the type of place you want to stay at long enough to grow old. That fact comes in handy during our interrogation work.,Friendship Lv. 4,Wriothesley,Fontaine
108,Chevreuse,About Emilie,"Emilie is a good friend. Her expert knowledge of chemistry has been a great help to me many times when analyzing evidence or tracking down a killer. She helps us discover information that no one else can see, like what type of perfume a suspect wore or what type of flowers they sent as a gift. She can even determine the places they've been right down to the very dirt they've stepped in... Plus, she's never been wrong.",Friendship Lv. 4,Emilie,Fontaine
109,Chevreuse,About Chiori,"Chiori's method of resolving disputes is bit radical. But, she has quite the network at her disposal and has provided the Special Security and Surveillance Patrol with intelligence on more than one occasion. In return, I turn a blind eye whenever she throws someone out the door or runs a malignant competitor out of business. If you look into it, you'll find that Chiori is always in the right. She's just not the type to waste her breath on explanations.",Friendship Lv. 4,Chiori,Fontaine
110,Chevreuse,About Charlotte,"Charlotte is the type of reporter that really gives you a headache. Whenever there's a major case, she's always one of the first people in the vicinity no matter how hard we try to secure the scene. One time, she was even detained as a suspect for half a month, but she was still able to finish her article while in custody... I really do need to find the time to have a formal conversation with her editor about her behavior.",Friendship Lv. 4,Charlotte,Fontaine
111,Chevreuse,About Sigewinne,"The Special Security and Surveillance Patrol has a long-lasting friendship with the Melusines. We often collaborate with the Melusines who work in the Marechaussee Phantom. They're kind, honest, and reliable. When it comes to handling major cases, the role they play is irreplaceable. I, myself, am quite close to several Melusines, Sigewinne included.Melusines have long been one of our most indispensable partners. If there continue to be those who dare to slander and belittle their name, then they'll find themselves looking down the barrels of our muskets.",Friendship Lv. 4; The Remains of the Past Day,Sigewinne,Fontaine
112,Chevreuse,About Neuvillette,"Everyone knows that the Iudex abstains himself of all personal emotion when presiding over a trial. Some even say he lacks the warmth of human emotion. But the way I see it, justice should remain uncorrupted by personal feelings. Those who break the law bear guilt. It's as simple as that.",Friendship Lv. 4,Neuvillette,Fontaine
113,Chevreuse,About Furina,"Lady Furina once ordered us to carry out some sort of... ceremonial musketeer performance. She not only wanted each of us outfitted with special ""ceremonial muskets,"" but she wanted us to practice all sorts of specialized drill formations as well. Luckily, in the end, she couldn't find the right song to pair with the performance and the matter was dropped entirely.",Friendship Lv. 4,Furina,Fontaine
114,Chevreuse,More About Chevreuse: I,"Sorry, I'm not great at talking to people... Well, talking to people outside of an interrogation room that is. If there's anything you want to know, please just ask.",,,Fontaine
115,Chevreuse,More About Chevreuse: II,"The Special Security and Surveillance Patrol is just one of the many branches of the Maison Gardiennage. We have a more daring way of doing things, and some in the Maison Gardiennage are under the impression that we don't exactly play by the rules.But， [sic]I don't think the way the Special Patrol operates should be influenced by outside forces. The criminals we face aren't your everyday goody-goodies from the Palais Mermonia. When crimes are committed swiftly and without warning, like the sudden downpour of a rainstorm, we have to be able to respond just as fast.",Friendship Lv. 3,,Fontaine
116,Chevreuse,More About Chevreuse: III,"The criminals I encounter aren't all cold-blooded killers and heartless villains.Most of them start off by making a small mistake but are too afraid to own up to it. In their efforts to make up for it in secret, they end up getting sucked into a whirlpool of lies. Before they know it, they're in over their heads, and they're forced down the path of a criminal despite the best of intentions.There's this line by my favorite playwright that goes, ""Lies are the soil in which the seeds of crime are sown.""But, he was arrested for plagiarism a few years later. Talk about dramatic irony, I suppose...",Friendship Lv. 4,,Fontaine
117,Chevreuse,More About Chevreuse: IV,"After my father was imprisoned, I was labeled ""a crook's daughter."" Growing up in Fleuve Cendre, I saw first-hand how many corners of Fontaine remain shrouded in shadow. Though my upbringing didn't garner me many friends, the knowledge I acquired was far more precious.Those who enforce the law must have their own conception of justice, one that they use to govern their actions. That is what my father taught me.And it has proved itself to be true many times over.",Friendship Lv. 5,,Fontaine
118,Chevreuse,More About Chevreuse: V,"To be honest, as the Captain of the Special Security and Surveillance Patrol, I've witnessed evil beyond measure. Too many times, I've seen good, innocent people get hurt or even lose their lives after getting caught up in events beyond their control... I can't help but feel angry and powerless whenever I think about them.I firmly believe that criminals must be punished, but we must not let punishment trap us in an endless cycle of vengeance.If we are blinded by our emotions and let them control our actions, we run the risk of drowning in them.Those who hold more power should be especially cognizant of that fact. We must all search for our own sense of justice, but we must also be wary of losing ourselves in the pursuit of it.",Friendship Lv. 6,,Fontaine
119,Chevreuse,Chevreuse's Hobbies,"Perhaps training? Or target practice? If I really had to say, though, it would be reading crime novels. That reminds me, I should grab the latest copy of ""The Murder Files.""",,,Fontaine
120,Chevreuse,Chevreuse's Troubles,I really hate wasting time learning frivolous pieces of etiquette. My time is better spent keeping criminals in check.,,,Fontaine
121,Chevreuse,Favorite Food,"I love anything full of grease and sugar. Food like that provides me with ample energy during the workday... Plus, it's a real mood booster. But, on my days off... those fat-inducing foods become my worst enemy. That being said, absolving the world of their existence also comes with its own pleasures.",,,Fontaine
122,Chevreuse,Least Favorite Food,"I... can't really handle eating raw food. If I'm going to eat it, then it has to be fully cooked.",,,Fontaine
123,Chevreuse,Receiving a Gift: I,It's delicious. *sigh* But it seems I've already had a few bites too many... I'll have to work it off with extra training.,,,Fontaine
124,Chevreuse,Receiving a Gift: II,"Hm, much better than what we get in the Special Patrol's mess hall.",,,Fontaine
125,Chevreuse,Receiving a Gift: III,It's filling but doesn't leave you wanting more... An excellent dish in my book.,,,Fontaine
126,Chevreuse,Birthday,"Happy Birthday! Ahem... At attention! Chin up, shoulders back! Let's take your measurements... I want to commission a smaller, more portable musket and holster for you...Okay, at ease. While the musket is being commissioned, you need to log some hours at the shooting range first. No time like the present! Follow me!",,,Fontaine
127,Chevreuse,Feelings About Ascension: Intro,Not bad. I feel my aim getting steadier by the minute.,Ascension Phase 1,,Fontaine
128,Chevreuse,Feelings About Ascension: Building Up,"More accurate at longer range, not bad.",Ascension Phase 2,,Fontaine
129,Chevreuse,Feelings About Ascension: Climax,"Thanks! With this strength, I can't imagine many criminals will be able to get away now!",Ascension Phase 4,,Fontaine
130,Chevreuse,Feelings About Ascension: Conclusion,"Thanks for all your help. I can't promise that the full force of the Special Patrol will be at your beck and call, but as for myself, you need only say the word and I'll be there.",Ascension Phase 6,,Fontaine
131,Neuvillette,Hello,"Greetings. I am the Chief Justice, or ""Iudex"" of Fontaine, but you may simply address me by using my surname, ""Neuvillette."" Not because I wish to keep my distance from you... No, I am merely conscious that being overly familiar may bring the impartiality of the judiciary into question in some people's eyes.If you have any requests or concerns, then — to the extent permissible by law, at least — we can sit down and discuss them together as we partake of some imported water from Qiaoying Village.",,,Fontaine
132,Neuvillette,Chat: Trials,"I see the value in my own work, but I also see the meaning in all the endeavors of the people of Fontaine. I believe I will continue to take pride in fulfilling my duties.",,,Fontaine
133,Neuvillette,Chat: Water Tasting,"Water comes in many flavors to the discerning palate. Mondstadt's water is crisp and pure, while water from Liyue has an enduring aftertaste. In Inazuma, the water possesses a depth of flavor unlike any other. Sumeru's water, meanwhile, has a rich and complex flavor profile, but it must be savored patiently to fully appreciate it.",,,Fontaine
134,Neuvillette,Chat: Melusines,"Melusines are beautiful creatures. They are the pride of Fontaine. Be sure to befriend them, and cause them no harm.",,,Fontaine
135,Neuvillette,When It Rains,"Ah, my apologies. This heavy rain must be quite an inconvenience for you.",,,Fontaine
136,Neuvillette,After the Rain,It's over...,,,Fontaine
137,Neuvillette,When Thunder Strikes,"What's that saying again... ""A bolt from the blue""? Yes, yes, I believe that captures how it feels to me.",Cataclysm's Quickening,,Fontaine
138,Neuvillette,When It Snows,"Snow is in fact one of water's natural self-cleansing mechanisms. But human activity tends to reduce snow's purity, so do not consume it.",,,Fontaine
139,Neuvillette,When the Sun Is Out,"I find that the, um... beauty of bright sunlight is best appreciated from the indoors through a window.",,,Fontaine
140,Neuvillette,In the Desert,I cannot help but feel that you bringing me here is some sort of an assassination attempt...,,,Fontaine
141,Neuvillette,Good Morning,Good morning. I hope you have a wonderful day.,,,Fontaine
142,Neuvillette,Good Afternoon,"Ah, it's past noon. You must be looking forward to your afternoon tea or coffee break? I certainly am.",,,Fontaine
143,Neuvillette,Good Evening,Good evening. I hope you have not encountered any unpleasantness today.,,,Fontaine
144,Neuvillette,Good Night,"Good night. I am quite fond of the image of a perfectly still body of water, and it is on this note that I would like to wish you a peaceful, undisturbed sleep. May no waves of emotional distress ripple through your dreams tonight.",,,Fontaine
145,Neuvillette,About Neuvillette: Trials,"I am no rabid fan of trials. I preside over them only out of duty, for this is the task that has been entrusted to me.",,,Fontaine
